state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Madhya Pradesh,Hoshangabad,Pipariya APMC,Paddy(Common),Puspa (MR 301),FAQ,2025-12-26,3799.0,3824.0,3824.0
Gujarat,Surendranagar,Dhragradhra APMC,Soanf,Soanf,Local,2025-12-26,6625.0,6625.0,6625.0
Gujarat,Banaskanth,Vadgam APMC,Guar Seed(Cluster Beans Seed),Other,FAQ,2025-12-26,5430.0,5450.0,5450.0
Punjab,Mohali,Kharar APMC,Raddish,Raddish,Local,2025-12-26,700.0,1000.0,800.0
Haryana,Jind,"New Grain Market , Jind APMC",Cotton,American,FAQ,2025-12-26,6200.0,7455.0,7100.0
Haryana,Jind,"New Grain Market , Jind APMC",Paddy(Basmati),1121,FAQ,2025-12-26,3650.0,4450.0,4100.0
Assam,Nagaon,Dhing APMC,Brinjal,Brinjal,FAQ,2025-12-26,1700.0,2300.0,1900.0
Rajasthan,Beawar,Bijaynagar APMC,Black Gram(Urd Beans)(Whole),Other,Local,2025-12-26,4600.0,5502.0,5000.0
Rajasthan,Ajmer,Madanganj Kishangarh APMC,Bajra(Pearl Millet/Cumbu),Other,Local,2025-12-26,2019.0,2323.0,2019.0
Rajasthan,Ajmer,Madanganj Kishangarh APMC,Bengal Gram(Gram)(Whole),Other,Local,2025-12-26,3600.0,5248.0,5248.0
Rajasthan,Alwar,Kherli APMC,Mustard,Mustard,Non-FAQ,2025-12-26,6580.0,6900.0,6790.0
Rajasthan,Alwar,Kherli APMC,Bajra(Pearl Millet/Cumbu),Other,Non-FAQ,2025-12-26,1950.0,2100.0,2001.0
West Bengal,Nadia,Karimpur APMC,Green Chilli,Green Chilly,Grade A,2025-12-26,3800.0,4000.0,3900.0
West Bengal,Nadia,Karimpur APMC,Brinjal,Other,Grade A,2025-12-26,2700.0,2800.0,2800.0
West Bengal,Nadia,Karimpur APMC,Onion,Nasik,Grade A,2025-12-26,1900.0,2100.0,2000.0
Assam,Kokrajhar,Gossaigaon APMC,Cabbage,Cabbage,Local,2025-12-26,800.0,1000.0,900.0
Assam,Kokrajhar,Gossaigaon APMC,Cauliflower,Cauliflower,Local,2025-12-26,800.0,1000.0,900.0
Assam,Kokrajhar,Gossaigaon APMC,Ginger(Green),Green Ginger,Local,2025-12-26,5000.0,6000.0,5500.0
Assam,Kokrajhar,Gossaigaon APMC,Tomato,Tomato,FAQ,2025-12-26,4000.0,5000.0,4500.0
Assam,Kamrup,Fancy Bazaar APMC,Lentil(Masur)(Whole),Masur Dal,FAQ,2025-12-26,7200.0,8500.0,7500.0
Assam,Kamrup,Fancy Bazaar APMC,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,2025-12-26,7100.0,8000.0,7200.0
Assam,Kamrup,Fancy Bazaar APMC,Green Gram Dal(Moong Dal),Green Gram Dal,FAQ,2025-12-26,8500.0,10000.0,9000.0
Assam,Kamrup,Fancy Bazaar APMC,Sugar,Medium,FAQ,2025-12-26,4300.0,4800.0,4500.0
Assam,Nagaon,Ambagan APMC,Pumpkin,Pumpkin,FAQ,2025-12-26,1200.0,1400.0,1300.0
Assam,Nagaon,Ambagan APMC,Tomato,Tomato,FAQ,2025-12-26,2000.0,2400.0,2200.0
Assam,Nagaon,Ambagan APMC,Brinjal,Brinjal,FAQ,2025-12-26,1900.0,2400.0,2100.0
Assam,Nagaon,Ambagan APMC,French Beans(Frasbean),French Beans (Frasbean),FAQ,2025-12-26,2000.0,2800.0,2400.0
Assam,Goalpara,Goalpara APMC,Capsicum,Capsicum,FAQ,2025-12-26,4500.0,7000.0,6000.0
Assam,Goalpara,Goalpara APMC,Peas cod,Pea,FAQ,2025-12-26,4500.0,5000.0,5000.0
Assam,Sonitpur,Dhekiajuli APMC,Potato,Local,FAQ,2025-12-26,1400.0,1600.0,1500.0
Assam,Sonitpur,Dhekiajuli APMC,Pumpkin,Pumpkin,FAQ,2025-12-26,1600.0,2000.0,1700.0
Assam,Sonitpur,Dhekiajuli APMC,Tomato,Other,FAQ,2025-12-26,2600.0,2800.0,2800.0
Assam,Sibsagar,Sibsagar APMC,Potato,Potato,FAQ,2025-12-26,1300.0,1400.0,1350.0
Assam,Nalbari,Nalbari APMC,Cabbage,Cabbage,FAQ,2025-12-26,1600.0,2000.0,1800.0
Assam,Nalbari,Nalbari APMC,Cauliflower,Local,FAQ,2025-12-26,1700.0,2200.0,1950.0
Assam,Darrang,Balugaon APMC,Bhindi(Ladies Finger),Bhindi,Local,2025-12-26,2500.0,2700.0,2600.0
Assam,Darrang,Balugaon APMC,Pumpkin,Pumpkin,Local,2025-12-26,1000.0,1200.0,1100.0
Assam,Darrang,Balugaon APMC,Tomato,Tomato,Local,2025-12-26,2600.0,2800.0,2700.0
Assam,Darrang,Besimari APMC,Cabbage,Cabbage,Local,2025-12-26,1000.0,1050.0,1025.0
Assam,Darrang,Besimari APMC,French Beans(Frasbean),French Beans (Frasbean),Local,2025-12-26,2600.0,2800.0,2700.0
Assam,Sibsagar,Chairaideo APMC,Cabbage,Cabbage,FAQ,2025-12-26,2500.0,2700.0,2600.0
Assam,Sibsagar,Chairaideo APMC,Brinjal,Brinjal,FAQ,2025-12-26,4000.0,4200.0,4100.0
Assam,Sibsagar,Chairaideo APMC,Raddish,Raddish,FAQ,2025-12-26,900.0,1100.0,1000.0
Assam,Nagaon,Doomdumia APMC,Pumpkin,Pumpkin,FAQ,2025-12-26,1150.0,1350.0,1200.0
Assam,Nagaon,Doomdumia APMC,Raddish,Raddish,FAQ,2025-12-26,2000.0,2400.0,2200.0
Assam,Nagaon,Doomdumia APMC,Cauliflower,Cauliflower,FAQ,2025-12-26,1500.0,1900.0,1700.0
Assam,Nagaon,Doomdumia APMC,Potato,Potato,FAQ,2025-12-26,1500.0,1900.0,1700.0
Assam,Hojai,Gandhimaidan APMC,Potato,Potato,FAQ,2025-12-26,1200.0,1300.0,1250.0
Assam,Hojai,Gandhimaidan APMC,Cauliflower,Cauliflower,FAQ,2025-12-26,1200.0,1500.0,1350.0
Assam,Hojai,Gandhimaidan APMC,Cabbage,Cabbage,FAQ,2025-12-26,1000.0,1200.0,1100.0
Assam,Hojai,Gandhimaidan APMC,Pumpkin,Pumpkin,FAQ,2025-12-26,1200.0,1500.0,1400.0
Kerala,Kottayam,Bharananganam APMC,Banana,Banana - Ripe,Grade A,2025-12-26,2800.0,3000.0,2900.0
Uttar Pradesh,Ayodhya,Ayodhya APMC,Maize,Yellow,Local,2025-12-26,2300.0,2430.0,2400.0
Uttar Pradesh,Ayodhya,Ayodhya APMC,Paddy(Common),Common,FAQ,2025-12-26,2100.0,2370.0,2310.0
Uttar Pradesh,Ayodhya,Ayodhya APMC,Wheat,Dara,Local,2025-12-26,2500.0,2630.0,2600.0
Uttar Pradesh,Ayodhya,Ayodhya APMC,Rice,Common,Local,2025-12-26,2800.0,2960.0,2900.0
West Bengal,Burdwan,Guskara APMC,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,2025-12-26,6500.0,6700.0,6600.0
West Bengal,Birbhum,Bishnupur APMC,Onion,Nasik,Non-FAQ,2025-12-26,1400.0,2000.0,1700.0
Punjab,Jalandhar,Phillaur(Apra Mandi) APMC,Tomato,Other,FAQ,2025-12-26,5000.0,5000.0,5000.0
Punjab,Jalandhar,Phillaur(Apra Mandi) APMC,Green Chilli,Other,FAQ,2025-12-26,4000.0,4000.0,4000.0
Punjab,Sangrur,Lehra Gaga APMC,Mousambi(Sweet Lime),Other,Grade A,2025-12-26,45000.0,45000.0,45000.0
Punjab,Sangrur,Lehra Gaga APMC,Orange,Other,Grade A,2025-12-26,60000.0,60000.0,60000.0
Punjab,Sangrur,Lehra Gaga APMC,Carrot,Other,Grade A,2025-12-26,20000.0,20000.0,20000.0
Punjab,Sangrur,Lehra Gaga APMC,Papaya,Other,Grade A,2025-12-26,10.0,10.0,10.0
Punjab,Sangrur,Lehra Gaga APMC,Papaya(Raw),Other,Grade A,2025-12-26,30000.0,30000.0,30000.0
Himachal Pradesh,Bilaspur,PMY Bilaspur,Orange,Orange,Grade B,2025-12-26,8000.0,9000.0,8500.0
Himachal Pradesh,Bilaspur,PMY Bilaspur,Peas cod,Other,Grade B,2025-12-26,2500.0,4000.0,3500.0
Uttar Pradesh,Ghaziabad,Noida APMC,Green Chilli,Green Chilly,FAQ,2025-12-26,3000.0,3200.0,3100.0
Gujarat,Surat,Surat APMC,Bhindi(Ladies Finger),Bhindi,FAQ,2025-12-26,3000.0,5500.0,4250.0
Gujarat,Surat,Surat APMC,Mango(Raw-Ripe),Other,FAQ,2025-12-26,7500.0,11000.0,9250.0
Gujarat,Surat,Surat APMC,Rat Tail Radish(Mogari),Other,FAQ,2025-12-26,6000.0,15000.0,10500.0
Gujarat,Surat,Surat APMC,Potato,Other,FAQ,2025-12-26,600.0,2750.0,1675.0
Haryana,Fatehabad,Fatehabad APMC,Apple,Apple,Local,2025-12-26,4500.0,4500.0,4500.0
Haryana,Fatehabad,Fatehabad APMC,Pomegranate,Pomogranate,Local,2025-12-26,11000.0,11000.0,11000.0
Himachal Pradesh,Sirmore,PMY Paonta Sahib,Apple,Kasmir/Shimla - II,Grade A,2025-12-26,8000.0,10000.0,9000.0
Himachal Pradesh,Sirmore,PMY Paonta Sahib,Bottle gourd,Other,FAQ,2025-12-26,2000.0,2500.0,2200.0
Himachal Pradesh,Sirmore,PMY Paonta Sahib,Cauliflower,Cauliflower,FAQ,2025-12-26,600.0,1000.0,800.0
Himachal Pradesh,Sirmore,PMY Paonta Sahib,Tomato,Other,FAQ,2025-12-26,5000.0,5500.0,5200.0
Jammu and Kashmir,Udhampur,Udhampur APMC,Apple,Apple,Grade B,2025-12-26,8000.0,8000.0,8000.0
Jammu and Kashmir,Udhampur,Udhampur APMC,Banana,Other,Grade B,2025-12-26,4400.0,4400.0,4400.0
Jammu and Kashmir,Udhampur,Udhampur APMC,Papaya,Papaya,Grade B,2025-12-26,3500.0,3500.0,3500.0
Jammu and Kashmir,Udhampur,Udhampur APMC,Potato,Other,Grade B,2025-12-26,900.0,900.0,900.0
Kerala,Kannur,Kannur APMC,Black pepper,Other,Grade Range-1,2025-12-26,65000.0,67000.0,66000.0
Kerala,Kannur,Payyannur APMC,Banana - Green,Other,Local,2025-12-26,2400.0,2600.0,2500.0
Kerala,Palakad,Palakkad APMC,Banana,Poovan,Medium,2025-12-26,5000.0,6000.0,5600.0
Kerala,Palakad,Palakkad APMC,Black Gram(Urd Beans)(Whole),Black Gram Dal,FAQ,2025-12-26,10500.0,12000.0,11300.0
Kerala,Palakad,Palakkad APMC,Lime,Other,Medium,2025-12-26,4000.0,5000.0,4600.0
Kerala,Palakad,Palakkad APMC,Green Gram(Moong)(Whole),Green (Whole),FAQ,2025-12-26,10500.0,12000.0,11300.0
